t (sec)	X (m)	Y (m)	Vx (m/s)	Vy (m/s)	ax (m/s²)	ay (m/s²)
0.000	61.1215	1.1194	0.0000	0.0000	0.0000	0.0000
0.103	61.0927	1.2501	-0.5595	2.5369	-5.4371	24.6164
0.228	60.9802	1.7593	-1.2408	5.6094	-5.4672	24.5332
0.352	60.7842	2.6432	-1.9215	8.6432	-5.5151	24.3870
0.478	60.4982	3.9253	-2.6201	11.7031	-5.5743	24.1716
0.603	60.1270	5.5763	-3.3206	14.7076	-5.6318	23.8890
0.728	59.6678	7.6005	-4.0273	17.6724	-5.6723	23.5372
0.853	59.1200	9.9924	-4.7371	20.5891	-5.6757	23.1182
0.979	58.4782	12.7689	-5.4494	23.4721	-5.6177	22.6350
1.103	57.7363	15.7205	-6.5897	23.6913	-9.8757	-2.6890
1.228	56.8358	18.6596	-7.8153	23.3235	-9.7303	-3.1945
1.354	55.7743	21.5717	-9.0308	22.8892	-9.5581	-3.6968
1.477	54.5917	24.3579	-10.1948	22.4048	-9.3655	-4.1787
1.602	53.2447	27.1246	-11.3520	21.8523	-9.1452	-4.6589
1.728	51.7424	29.8397	-12.4890	21.2354	-8.8986	-5.1318
1.852	50.1260	32.4323	-13.5761	20.5708	-8.6323	-5.5852
1.978	48.3477	34.9787	-14.6455	19.8388	-8.3382	-6.0325
2.102	46.4683	37.3912	-15.6604	19.0642	-8.0262	-6.4584
2.227	44.4489	39.7227	-16.6428	18.2308	-7.6898	-6.8721
2.352	42.3094	41.9468	-17.5819	17.3468	-7.3319	-7.2691
2.477	40.0554	44.0574	-18.4750	16.4143	-6.9535	-7.6482
2.602	37.6927	46.0485	-19.3194	15.4356	-6.5552	-8.0084
2.728	35.2075	47.9289	-20.1191	14.4047	-6.1346	-8.3511
2.852	32.6667	49.6500	-20.8532	13.3493	-5.7028	-8.6676
2.977	30.0166	51.2502	-21.5379	12.2471	-5.2505	-8.9647
3.102	27.2846	52.7103	-22.1652	11.1091	-4.7823	-9.2388
3.229	24.4324	54.0459	-22.7415	9.9194	-4.2913	-9.4927
3.353	21.5807	55.2024	-23.2432	8.7282	-3.7984	-9.7160
3.477	18.6706	56.2095	-23.6830	7.5109	-3.2931	-9.9142
3.603	15.6618	57.0767	-24.0650	6.2504	-2.7684	-10.0889
3.727	12.6578	57.7737	-24.3757	4.9901	-2.2422	-10.2341
3.853	9.5701	58.3209	-24.6241	3.6927	-1.6990	-10.3537
3.977	6.5050	58.6990	-24.8012	2.4030	-1.1573	-10.4434
4.104	3.3474	58.9198	-24.9127	1.0724	-0.5969	-10.5059
4.227	0.2800	58.9721	-24.9525	-0.2220	-0.0500	-10.5377
4.352	-2.8380	58.8620	-24.9239	-1.5397	0.5082	-10.5408
4.477	-5.9480	58.5872	-24.8254	-2.8560	1.0674	-10.5140
4.602	-9.0414	58.1482	-24.6571	-4.1670	1.6260	-10.4573
4.727	-12.1094	57.5458	-24.4190	-5.4691	2.1823	-10.3705
4.853	-15.1674	56.7747	-24.1089	-6.7686	2.7390	-10.2526
4.979	-18.1819	55.8408	-23.7290	-8.0514	3.2900	-10.1043
5.103	-21.0976	54.7652	-23.2878	-9.2938	3.8250	-9.9289
5.227	-23.9546	53.5370	-22.7808	-10.5126	4.3511	-9.7245
5.353	-26.7890	52.1358	-22.1994	-11.7233	4.8750	-9.4875
5.477	-29.5030	50.6098	-21.5636	-12.8838	5.3783	-9.2259
