t (sec)	X (m)	Y (m)	Vtot (m/s)	β (rad)	atot (m/s²)
0.000	61.1215	1.1194	0.0000	0.0000	0.0000
0.107	61.0904	1.2604	2.6987	1.7879	25.2082
0.232	60.9752	1.7820	5.8456	1.7885	25.1316
0.357	60.7745	2.6867	8.9792	1.7896	24.9963
0.482	60.4876	3.9723	12.0920	1.7911	24.7987
0.611	60.1002	5.6947	15.2740	1.7930	24.5247
0.730	59.6597	7.6359	18.1739	1.7949	24.2051
0.856	59.1058	10.0543	21.1984	1.7970	23.7941
0.982	58.4618	12.8394	24.1663	1.7990	23.3094
1.107	57.7099	15.8153	24.5909	1.8438	10.2354
1.232	56.8045	18.7529	24.5983	1.8958	10.2415
1.357	55.7472	21.6403	24.6065	1.9478	10.2483
1.482	54.5406	24.4698	24.6156	1.9999	10.2557
1.607	53.1878	27.2338	24.6254	2.0520	10.2638
1.732	51.6924	29.9246	24.6361	2.1041	10.2726
1.856	50.0717	32.5145	24.6473	2.1558	10.2819
1.981	48.3037	35.0382	24.6593	2.2080	10.2918
2.108	46.3742	37.5055	24.6723	2.2610	10.3025
2.232	44.3656	39.8138	24.6855	2.3128	10.3135
2.357	42.2214	42.0335	24.6995	2.3650	10.3251
2.481	39.9814	44.1230	24.7139	2.4169	10.3370
2.607	37.5960	46.1255	24.7291	2.4696	10.3496
2.732	35.1270	47.9864	24.7447	2.5219	10.3626
2.857	32.5623	49.7166	24.7607	2.5743	10.3759
2.982	29.9089	51.3113	24.7771	2.6267	10.3896
3.107	27.1737	52.7657	24.7940	2.6791	10.4037
3.231	24.3869	54.0658	24.8110	2.7311	10.4179
3.357	21.4877	55.2372	24.8285	2.7840	10.4326
3.481	18.5758	56.2394	24.8460	2.8362	10.4473
3.606	15.5896	57.0954	24.8638	2.8887	10.4622
3.731	12.5603	57.7936	24.8818	2.9414	10.4773
3.856	9.4962	58.3320	24.8999	2.9940	10.4926
3.981	6.4058	58.7085	24.9180	3.0467	10.5078
4.109	3.2229	58.9250	24.9365	3.1007	10.5234
4.231	0.1802	58.9711	24.9541	3.1522	10.5383
4.357	-2.9626	58.8542	24.9721	3.2054	10.5536
4.481	-6.0473	58.5757	24.9897	3.2578	10.5685
4.606	-9.1400	58.1315	25.0072	3.3107	10.5834
4.732	-12.2315	57.5184	25.0246	3.3640	10.5982
