t (sec)	r (m)	θ (rad)	Vr (m/s)	ω (rad/s)	ar (m/s²)	α (rad/s²)	Pr (kg m/s)	Pθ (kg rad/s)
0.000	61.1317	0.0183	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.113	61.1002	0.0209	-0.5556	0.0457	-2.7963	0.4050	-5.5556	0.4575
0.238	60.9946	0.0298	-1.1205	0.0966	-3.9939	0.4063	-11.2051	0.9658
0.362	60.8261	0.0449	-1.5757	0.1474	-6.0335	0.4082	-15.7572	1.4742
0.487	60.6086	0.0666	-1.8714	0.1992	-8.9431	0.4099	-18.7144	1.9918
0.611	60.3694	0.0945	-1.9452	0.2509	-12.6312	0.4105	-19.4522	2.5095
0.737	60.1342	0.1294	-1.7363	0.3037	-17.0708	0.4086	-17.3629	3.0367
0.863	59.9464	0.1710	-1.1816	0.3559	-21.9570	0.4025	-11.8156	3.5585
0.988	59.8535	0.2186	-0.2342	0.4061	-26.8438	0.3905	-2.3419	4.0607
1.114	59.8368	0.2704	-0.1355	0.4110	6.9401	0.0009	-1.3554	4.1097
1.237	59.8191	0.3209	-0.1513	0.4112	9.3987	0.0010	-1.5132	4.1121
1.362	59.7992	0.3723	-0.1670	0.4115	12.0611	0.0011	-1.6696	4.1148
1.488	59.7772	0.4242	-0.1823	0.4118	14.8011	0.0013	-1.8230	4.1179
1.613	59.7535	0.4757	-0.1970	0.4121	17.4616	0.0014	-1.9704	4.1211
1.738	59.7280	0.5272	-0.2113	0.4125	19.9532	0.0015	-2.1127	4.1246
1.862	59.7010	0.5784	-0.2248	0.4128	22.1545	0.0016	-2.2484	4.1284
1.988	59.6718	0.6304	-0.2380	0.4132	24.0202	0.0016	-2.3804	4.1324
2.113	59.6412	0.6821	-0.2505	0.4137	25.4215	0.0017	-2.5051	4.1367
2.237	59.6094	0.7334	-0.2622	0.4141	26.3082	0.0018	-2.6223	4.1411
2.362	59.5760	0.7852	-0.2734	0.4146	26.6541	0.0019	-2.7336	4.1457
2.488	59.5409	0.8375	-0.2839	0.4151	26.4279	0.0020	-2.8385	4.1506
2.613	59.5048	0.8894	-0.2935	0.4156	25.6394	0.0020	-2.9350	4.1557
2.738	59.4675	0.9414	-0.3024	0.4161	24.3192	0.0021	-3.0237	4.1609
2.862	59.4295	0.9930	-0.3104	0.4166	22.5369	0.0022	-3.1037	4.1662
2.987	59.3903	1.0451	-0.3176	0.4172	20.3379	0.0022	-3.1761	4.1717
