t (sec)	r (m)	θ (rad)	Vtot (m/s)	atot (m/s²)	Ptot (kg m/s)
0.000	61.1317	0.0183	0.0000	0.0000	0.0000
0.127	61.0919	0.0216	3.2028	25.1998	32.0282
0.252	60.9785	0.0312	6.3480	25.1140	63.4803
0.376	60.8037	0.0470	9.4539	24.9704	94.5387
0.501	60.5823	0.0694	12.5628	24.7629	125.6282
0.626	60.3403	0.0983	15.6416	24.4881	156.4162
0.751	60.1101	0.1337	18.6815	24.1418	186.8155
0.877	59.9304	0.1760	21.6972	23.7183	216.9723
1.000	59.8514	0.2235	24.5852	23.2344	245.8518
1.127	59.8350	0.2757	24.5920	10.2363	245.9200
1.252	59.8169	0.3271	24.5996	10.2425	245.9955
1.376	59.7969	0.3781	24.6079	10.2494	246.0787
1.502	59.7747	0.4300	24.6171	10.2570	246.1712
1.626	59.7509	0.4811	24.6270	10.2651	246.2701
1.751	59.7252	0.5326	24.6377	10.2740	246.3773
1.876	59.6978	0.5842	24.6492	10.2834	246.4918
2.002	59.6684	0.6362	24.6614	10.2935	246.6142
2.126	59.6380	0.6875	24.6741	10.3041	246.7414
2.251	59.6058	0.7392	24.6876	10.3152	246.8760
2.376	59.5721	0.7910	24.7017	10.3269	247.0166
2.502	59.5369	0.8433	24.7164	10.3391	247.1640
2.627	59.5006	0.8952	24.7316	10.3517	247.3156
2.751	59.4636	0.9468	24.7471	10.3646	247.4708
2.876	59.4252	0.9989	24.7632	10.3780	247.6318
3.002	59.3855	1.0514	24.7798	10.3919	247.7981
3.127	59.3453	1.1036	24.7967	10.4060	247.9667
3.252	59.3043	1.1558	24.8139	10.4203	248.1386
3.376	59.2631	1.2078	24.8312	10.4348	248.3118
3.502	59.2207	1.2606	24.8490	10.4498	248.4900
3.627	59.1783	1.3131	24.8669	10.4648	248.6686
3.751	59.1359	1.3652	24.8847	10.4798	248.8470
3.877	59.0927	1.4183	24.9029	10.4951	249.0291
4.001	59.0501	1.4706	24.9209	10.5103	249.2086
4.126	59.0072	1.5233	24.9389	10.5255	249.3894
4.252	58.9643	1.5766	24.9571	10.5409	249.5709
4.376	58.9223	1.6291	24.9748	10.5559	249.7483
4.502	58.8800	1.6826	24.9927	10.5710	249.9268
4.627	58.8387	1.7357	25.0102	10.5859	250.1017
4.751	58.7984	1.7884	25.0272	10.6004	250.2724
4.876	58.7585	1.8417	25.0441	10.6148	250.4414
5.002	58.7192	1.8954	25.0608	10.6290	250.6079
5.127	58.6813	1.9488	25.0769	10.6428	250.7689
5.252	58.6445	2.0022	25.0925	10.6561	250.9252
5.377	58.6089	2.0557	25.1076	10.6691	251.0763
5.502	58.5746	2.1093	25.1222	10.6816	251.2219
5.627	58.5418	2.1629	25.1361	10.6935	251.3615
5.752	58.5105	2.2166	25.1495	10.7050	251.4946
5.876	58.4811	2.2700	25.1620	10.7158	251.6199
6.002	58.4529	2.3242	25.1740	10.7261	251.7399
6.127	58.4268	2.3781	25.1851	10.7357	251.8514
6.252	58.4025	2.4320	25.1955	10.7446	251.9549
6.376	58.3803	2.4855	25.2049	10.7528	252.0495
6.502	58.3598	2.5399	25.2137	10.7603	252.1369
6.626	58.3417	2.5935	25.2214	10.7670	252.2143
6.752	58.3254	2.6480	25.2284	10.7730	252.2838
6.877	58.3115	2.7020	25.2343	10.7782	252.3434
7.002	58.2997	2.7562	25.2394	10.7825	252.3936
