t (sec)	X (m)	Y (m)	Vtot (m/s)	β (rad)	atot (m/s²)	Ptot (kg m/s)
0.000	0.0000	40.0000	0.0000	0.0000	0.0000	0.0000
0.125	0.0000	39.8063	3.0991	4.7124	24.7924	3.0991
0.250	0.0000	39.2252	6.1981	4.7124	24.7924	6.1981
0.375	0.0000	38.2568	9.2972	4.7124	24.7924	9.2972
0.485	0.0000	37.0841	12.0243	4.7124	24.7924	12.0243
0.611	0.0000	35.3722	15.1482	4.7124	24.7924	15.1482
0.737	0.0000	33.2668	18.2720	4.7124	24.7924	18.2720
0.875	0.0000	30.5092	21.6933	4.7124	24.7924	21.6933
1.000	0.0000	27.6038	24.7924	4.7124	24.7924	24.7924
1.112	0.0000	24.6716	27.5691	4.7124	24.7924	27.5691
1.235	0.0000	21.0930	30.6186	4.7124	24.7924	30.6186
1.361	0.0000	17.0383	33.7425	4.7124	24.7924	33.7425
1.486	0.0000	12.6268	36.8415	4.7124	24.7924	36.8415
1.625	0.0000	7.2663	40.2876	4.7124	24.7924	40.2876
1.750	0.0000	2.0366	43.3867	4.7124	24.7924	43.3867
