t (sec)	X (m)	Y (m)	Vtot (m/s)	β (rad)	atot (m/s²)	Ptot (kg m/s)
0.000	0.0000	40.0000	0.0000	0.0000	0.0000	0.0000
0.108	0.0000	39.9783	0.4026	4.7124	3.7279	0.4026
0.248	0.0000	39.8854	0.9245	4.7124	3.7279	0.9245
0.358	0.0000	39.7611	1.3346	4.7124	3.7279	1.3346
0.499	0.0000	39.5359	1.8602	4.7124	3.7279	1.8602
0.610	0.0000	39.3064	2.2740	4.7124	3.7279	2.2740
0.764	0.0000	38.9120	2.8481	4.7124	3.7279	2.8481
0.908	0.0000	38.4632	3.3849	4.7124	3.7279	3.3849
1.029	0.0000	38.0264	3.8360	4.7124	3.7279	3.8360
1.156	0.0000	37.5091	4.3095	4.7124	3.7279	4.3095
1.279	0.0000	36.9509	4.7680	4.7124	3.7279	4.7680
1.407	0.0000	36.3100	5.2452	4.7124	3.7279	5.2452
1.531	0.0000	35.6310	5.7074	4.7124	3.7279	5.7074
1.654	0.0000	34.9008	6.1659	4.7124	3.7279	6.1659
1.779	0.0000	34.1009	6.6319	4.7124	3.7279	6.6319
1.905	0.0000	33.2357	7.1016	4.7124	3.7279	7.1016
2.030	0.0000	32.3188	7.5676	4.7124	3.7279	7.5676
2.154	0.0000	31.3518	8.0299	4.7124	3.7279	8.0299
2.295	0.0000	30.1825	8.5555	4.7124	3.7279	8.5555
2.407	0.0000	29.2009	8.9731	4.7124	3.7279	8.9731
2.529	0.0000	28.0785	9.4279	4.7124	3.7279	9.4279
2.655	0.0000	26.8610	9.8976	4.7124	3.7279	9.8976
2.779	0.0000	25.6050	10.3598	4.7124	3.7279	10.3598
2.904	0.0000	24.2809	10.8258	4.7124	3.7279	10.8258
3.045	0.0000	22.7174	11.3515	4.7124	3.7279	11.3515
3.155	0.0000	21.4462	11.7615	4.7124	3.7279	11.7615
3.279	0.0000	19.9591	12.2238	4.7124	3.7279	12.2238
3.404	0.0000	18.4020	12.6898	4.7124	3.7279	12.6898
3.529	0.0000	16.7867	13.1558	4.7124	3.7279	13.1558
3.656	0.0000	15.0858	13.6292	4.7124	3.7279	13.6292
3.780	0.0000	13.3671	14.0915	4.7124	3.7279	14.0915
3.904	0.0000	11.5911	14.5537	4.7124	3.7279	14.5537
4.045	0.0000	9.5020	15.0794	4.7124	3.7279	15.0794
4.170	0.0000	7.5880	15.5453	4.7124	3.7279	15.5453
4.282	0.0000	5.8235	15.9629	4.7124	3.7279	15.9629
4.375	0.0000	4.3228	16.3096	4.7124	3.7279	16.3096
4.532	0.0000	1.7163	16.8948	4.7124	3.7279	16.8948
4.654	0.0000	-0.3726	17.3496	4.7124	3.7279	17.3496
