t (sec)	X (m)	Y (m)	Vtot (m/s)	β (rad)	atot (m/s²)	Ptot (kg m/s)
0.000	0.0000	40.0000	0.0000	0.0000	0.0000	0.0000
0.125	0.0000	39.9873	0.2031	4.7124	1.6247	0.2031
0.267	0.0000	39.9421	0.4338	4.7124	1.6247	0.4338
0.375	0.0000	39.8858	0.6093	4.7124	1.6247	0.6093
0.500	0.0000	39.7969	0.8124	4.7124	1.6247	0.8124
0.625	0.0000	39.6827	1.0154	4.7124	1.6247	1.0154
0.750	0.0000	39.5431	1.2185	4.7124	1.6247	1.2185
0.875	0.0000	39.3780	1.4216	4.7124	1.6247	1.4216
1.016	0.0000	39.1614	1.6507	4.7124	1.6247	1.6507
1.125	0.0000	38.9719	1.8278	4.7124	1.6247	1.8278
1.250	0.0000	38.7307	2.0309	4.7124	1.6247	2.0309
1.375	0.0000	38.4642	2.2340	4.7124	1.6247	2.2340
1.501	0.0000	38.1698	2.4387	4.7124	1.6247	2.4387
1.643	0.0000	37.8071	2.6694	4.7124	1.6247	2.6694
1.751	0.0000	37.5093	2.8448	4.7124	1.6247	2.8448
1.877	0.0000	37.1380	3.0496	4.7124	1.6247	3.0496
2.018	0.0000	36.6918	3.2786	4.7124	1.6247	3.2786
2.127	0.0000	36.3248	3.4557	4.7124	1.6247	3.4557
2.266	0.0000	35.8288	3.6816	4.7124	1.6247	3.6816
2.393	0.0000	35.3481	3.8879	4.7124	1.6247	3.8879
2.501	0.0000	34.9187	4.0634	4.7124	1.6247	4.0634
2.641	0.0000	34.3340	4.2908	4.7124	1.6247	4.2908
2.750	0.0000	33.8566	4.4679	4.7124	1.6247	4.4679
2.875	0.0000	33.2854	4.6710	4.7124	1.6247	4.6710
3.016	0.0000	32.6107	4.9001	4.7124	1.6247	4.9001
3.125	0.0000	32.0669	5.0772	4.7124	1.6247	5.0772
3.266	0.0000	31.3349	5.3063	4.7124	1.6247	5.3063
3.391	0.0000	30.6589	5.5094	4.7124	1.6247	5.5094
3.502	0.0000	30.0373	5.6897	4.7124	1.6247	5.6897
3.641	0.0000	29.2308	5.9155	4.7124	1.6247	5.9155
3.750	0.0000	28.5763	6.0926	4.7124	1.6247	6.0926
3.875	0.0000	27.8021	6.2957	4.7124	1.6247	6.2957
4.016	0.0000	26.8982	6.5248	4.7124	1.6247	6.5248
4.141	0.0000	26.0699	6.7279	4.7124	1.6247	6.7279
4.250	0.0000	25.3269	6.9050	4.7124	1.6247	6.9050
4.375	0.0000	24.4511	7.1081	4.7124	1.6247	7.1081
4.500	0.0000	23.5499	7.3112	4.7124	1.6247	7.3112
4.625	0.0000	22.6233	7.5142	4.7124	1.6247	7.5142
4.750	0.0000	21.6714	7.7173	4.7124	1.6247	7.7173
4.875	0.0000	20.6940	7.9204	4.7124	1.6247	7.9204
5.000	0.0000	19.6912	8.1235	4.7124	1.6247	8.1235
5.142	0.0000	18.5213	8.3542	4.7124	1.6247	8.3542
5.250	0.0000	17.6096	8.5297	4.7124	1.6247	8.5297
5.377	0.0000	16.5132	8.7360	4.7124	1.6247	8.7360
5.500	0.0000	15.4264	8.9359	4.7124	1.6247	8.9359
5.625	0.0000	14.2967	9.1389	4.7124	1.6247	9.1389
5.752	0.0000	13.1230	9.3453	4.7124	1.6247	9.3453
5.875	0.0000	11.9612	9.5451	4.7124	1.6247	9.5451
6.000	0.0000	10.7554	9.7482	4.7124	1.6247	9.7482
6.125	0.0000	9.5242	9.9513	4.7124	1.6247	9.9513
6.253	0.0000	8.2371	10.1592	4.7124	1.6247	10.1592
6.391	0.0000	6.8197	10.3835	4.7124	1.6247	10.3835
6.501	0.0000	5.6677	10.5622	4.7124	1.6247	10.5622
6.641	0.0000	4.1730	10.7896	4.7124	1.6247	10.7896
6.750	0.0000	2.9873	10.9667	4.7124	1.6247	10.9667
6.875	0.0000	1.6038	11.1698	4.7124	1.6247	11.1698
7.000	0.0000	0.1948	11.3729	4.7124	1.6247	11.3729
7.125	0.0000	-1.2395	11.5760	4.7124	1.6247	11.5760
