t (sec)	X (m)	Y (m)	Vtot (m/s)	β (rad)	atot (m/s²)	Ptot (kg m/s)
0.000	0.0000	40.0000	0.0000	0.0000	0.0000	0.0000
0.140	0.0000	39.8976	1.4624	4.7124	10.4454	1.4624
0.265	0.0000	39.6332	2.7680	4.7124	10.4454	2.7680
0.391	0.0000	39.2015	4.0842	4.7124	10.4454	4.0842
0.515	0.0000	38.6148	5.3794	4.7124	10.4454	5.3794
0.656	0.0000	37.7525	6.8522	4.7124	10.4454	6.8522
0.765	0.0000	36.9435	7.9907	4.7124	10.4454	7.9907
0.906	0.0000	35.7130	9.4635	4.7124	10.4454	9.4635
1.017	0.0000	34.5982	10.6230	4.7124	10.4454	10.6230
1.143	0.0000	33.1768	11.9391	4.7124	10.4454	11.9391
1.265	0.0000	31.6425	13.2134	4.7124	10.4454	13.2134
1.390	0.0000	29.9092	14.5191	4.7124	10.4454	14.5191
1.517	0.0000	27.9811	15.8457	4.7124	10.4454	15.8457
1.642	0.0000	25.9187	17.1513	4.7124	10.4454	17.1513
1.781	0.0000	23.4338	18.6033	4.7124	10.4454	18.6033
1.890	0.0000	21.3440	19.7418	4.7124	10.4454	19.7418
2.034	0.0000	18.3929	21.2459	4.7124	10.4454	21.2459
2.141	0.0000	16.0598	22.3636	4.7124	10.4454	22.3636
2.265	0.0000	13.2064	23.6588	4.7124	10.4454	23.6588
2.392	0.0000	10.1175	24.9854	4.7124	10.4454	24.9854
2.516	0.0000	6.9390	26.2806	4.7124	10.4454	26.2806
2.641	0.0000	3.5723	27.5863	4.7124	10.4454	27.5863
2.766	0.0000	0.0424	28.8920	4.7124	10.4454	28.8920
