t (sec)	X (m)	Y (m)	Vtot (m/s)	β (rad)	atot (m/s²)	Ptot (kg m/s)	vrot (rad/s)	arot (rad/s²)
0.000	0.0000	0.0000	0.0000	0.5236	0.0000	0.0000	0.0000	0.0000
0.126	-0.5348	0.3088	5.8822	2.6180	4.9033	2.9411	0.0000	0.0000
0.251	-1.1384	0.6573	5.2693	2.6180	4.9033	2.6346	0.0000	0.0000
0.422	-1.8567	1.0719	4.4308	2.6180	4.9033	2.2154	0.0000	0.0000
0.531	-2.2497	1.2989	3.8963	2.6180	4.9033	1.9482	0.0000	0.0000
0.656	-2.6383	1.5232	3.2834	2.6180	4.9033	1.6417	0.0000	0.0000
0.798	-2.9993	1.7316	2.5871	2.6180	4.9033	1.2936	0.0000	0.0000
0.907	-3.2183	1.8581	2.0527	2.6180	4.9033	1.0263	0.0000	0.0000
1.016	-3.3868	1.9554	1.5182	2.6180	4.9033	0.7591	0.0000	0.0000
1.141	-3.5180	2.0311	0.9053	2.6180	4.9033	0.4527	0.0000	0.0000
1.251	-3.5785	2.0661	0.3659	2.6180	4.9033	0.1830	0.0000	0.0000
1.376	-3.5850	2.0698	0.2470	5.7596	4.9033	0.1235	0.0000	0.0000
1.505	-3.5221	2.0335	0.8795	5.7596	4.9033	0.4398	0.0000	0.0000
1.628	-3.3963	1.9608	1.4826	5.7596	4.9033	0.7413	0.0000	0.0000
1.751	-3.2062	1.8511	2.0857	5.7596	4.9033	1.0429	0.0000	0.0000
1.876	-2.9472	1.7016	2.6986	5.7596	4.9033	1.3493	0.0000	0.0000
2.001	-2.6219	1.5138	3.3116	5.7596	4.9033	1.6558	0.0000	0.0000
2.142	-2.1753	1.2559	4.0029	5.7596	4.9033	2.0015	0.0000	0.0000
2.266	-1.7128	0.9889	4.6109	5.7596	4.9033	2.3055	0.0000	0.0000
2.376	-1.2479	0.7205	5.1503	5.7596	4.9033	2.5752	0.0000	0.0000
2.503	-0.6472	0.3737	5.7730	5.7596	4.9033	2.8865	0.0000	0.0000
2.627	-0.0000	0.0000	6.3762	5.7596	4.9033	3.1881	0.0000	0.0000
